observation_date,PCE_PCH
1967-05-01,0.17953
1967-06-01,0.91597
1967-07-01,-0.01973
1967-08-01,0.61180
1967-09-01,1.13770
1967-10-01,-0.65943
1967-11-01,1.01523
1967-12-01,1.48821
1968-01-01,1.10455
1968-02-01,0.50857
1968-03-01,2.00525
1968-04-01,-0.05512
1968-05-01,1.06618
1968-06-01,1.18225
1968-07-01,1.24034
1968-08-01,0.67472
1968-09-01,0.21164
1968-10-01,0.59838
1968-11-01,0.89223
1968-12-01,-0.03468
1969-01-01,1.21422
1969-02-01,0.89117
1969-03-01,0.03397
1969-04-01,0.84904
1969-05-01,1.07762
1969-06-01,0.09995
1969-07-01,0.29955
1969-08-01,1.19462
1969-09-01,0.54107
1969-10-01,0.86432
1969-11-01,0.32336
1969-12-01,0.37067
1970-01-01,0.94733
1970-02-01,0.84301
1970-03-01,-0.26814
1970-04-01,0.58517
1970-05-01,1.00629
1970-06-01,0.60710
1970-07-01,0.34040
1970-08-01,0.67849
1970-09-01,0.94961
1970-10-01,-0.12138
1970-11-01,-0.25824
1970-12-01,1.37070
1971-01-01,1.57752
1971-02-01,0.48809
1971-03-01,0.38269
1971-04-01,0.99707
1971-05-01,0.33391
1971-06-01,1.25886
1971-07-01,-0.12861
1971-08-01,0.85849
1971-09-01,1.14910
1971-10-01,0.39271
1971-11-01,0.71249
1971-12-01,1.04037
1972-01-01,0.42559
1972-02-01,0.64252
1972-03-01,1.76582
1972-04-01,0.44047
1972-05-01,0.73090
1972-06-01,0.47493
1972-07-01,1.08981
1972-08-01,0.83128
1972-09-01,0.61832
1972-10-01,1.76674
1972-11-01,0.70449
1972-12-01,0.69956
1973-01-01,1.29016
1973-02-01,1.13901
1973-03-01,0.84766
1973-04-01,0.34822
1973-05-01,0.70599
1973-06-01,0.32082
1973-07-01,1.16072
1973-08-01,-0.09367
1973-09-01,1.86335
1973-10-01,-0.11505
1973-11-01,1.00207
1973-12-01,-0.03421
1974-01-01,0.90121
1974-02-01,0.58790
1974-03-01,1.31505
1974-04-01,1.04282
1974-05-01,1.27361
1974-06-01,0.60711
1974-07-01,1.06681
1974-08-01,1.80190
1974-09-01,0.03142
1974-10-01,0.42927
1974-11-01,-0.31276
1974-12-01,0.58565
1975-01-01,1.43481
1975-02-01,1.41451
1975-03-01,0.12129
1975-04-01,0.44418
1975-05-01,2.40201
1975-06-01,0.77535
1975-07-01,1.26607
1975-08-01,0.69244
1975-09-01,0.74499
1975-10-01,0.57831
1975-11-01,1.40447
1975-12-01,1.51515
1976-01-01,1.37350
1976-02-01,0.05420
1976-03-01,0.65000
1976-04-01,0.94179
1976-05-01,-0.23991
1976-06-01,1.58546
1976-07-01,0.79790
1976-08-01,0.73069
1976-09-01,0.93264
1976-10-01,0.68446
1976-11-01,1.03671
1976-12-01,1.89235
1977-01-01,0.28890
1977-02-01,1.34156
1977-03-01,0.56850
1977-04-01,0.72680
1977-05-01,0.78570
1977-06-01,0.51706
1977-07-01,1.33745
1977-08-01,0.40609
1977-09-01,0.68445
1977-10-01,1.30552
1977-11-01,1.18957
1977-12-01,0.67822
1978-01-01,-0.48653
1978-02-01,1.92554
1978-03-01,1.65301
1978-04-01,1.37205
1978-05-01,1.11716
1978-06-01,0.97734
1978-07-01,0.07014
1978-08-01,1.41576
1978-09-01,0.40774
1978-10-01,0.96359
1978-11-01,0.93394
1978-12-01,1.07389
1979-01-01,0.39425
1979-02-01,1.02503
1979-03-01,0.88286
1979-04-01,0.47022
1979-05-01,1.32605
1979-06-01,1.08417
1979-07-01,0.66002
1979-08-01,1.85991
1979-09-01,1.13271
1979-10-01,0.47127
1979-11-01,0.95638
1979-12-01,0.54305
1980-01-01,1.86041
1980-02-01,0.24156
1980-03-01,0.39967
1980-04-01,-0.76104
1980-05-01,0.28905
1980-06-01,1.09994
1980-07-01,1.64650
1980-08-01,0.95587
1980-09-01,0.94682
1980-10-01,2.05560
1980-11-01,0.53382
1980-12-01,1.36304
1981-01-01,0.98828
1981-02-01,0.75936
1981-03-01,0.99246
1981-04-01,0.07883
1981-05-01,0.49359
1981-06-01,1.08162
1981-07-01,0.39287
1981-08-01,1.26152
1981-09-01,-0.05593
1981-10-01,-0.08140
1981-11-01,0.34116
1981-12-01,0.92358
1982-01-01,0.41734
1982-02-01,1.20675
1982-03-01,0.14348
1982-04-01,0.10869
1982-05-01,0.89819
1982-06-01,0.17608
1982-07-01,1.17670
1982-08-01,0.38124
1982-09-01,1.17783
1982-10-01,1.00732
1982-11-01,1.10547
1982-12-01,0.57228
1983-01-01,0.57365
1983-02-01,0.13799
1983-03-01,1.18512
1983-04-01,1.07136
1983-05-01,0.87585
1983-06-01,1.34022
1983-07-01,1.24780
1983-08-01,0.69432
1983-09-01,0.62489
1983-10-01,0.97220
1983-11-01,0.36902
1983-12-01,1.15370
1984-01-01,1.07787
1984-02-01,-0.65719
1984-03-01,1.16913
1984-04-01,1.06514
1984-05-01,0.69176
1984-06-01,0.85270
1984-07-01,-0.04007
1984-08-01,0.70552
1984-09-01,0.85980
1984-10-01,-0.09867
1984-11-01,1.58417
1984-12-01,0.43556
1985-01-01,1.40169
1985-02-01,0.84008
1985-03-01,0.29158
1985-04-01,0.41533
1985-05-01,1.38748
1985-06-01,-0.25961
1985-07-01,0.97791
1985-08-01,1.34035
1985-09-01,1.54791
1985-10-01,-1.39192
1985-11-01,0.55519
1985-12-01,1.45069
1986-01-01,0.56202
1986-02-01,-0.24407
1986-03-01,0.12056
1986-04-01,0.41082
1986-05-01,0.78654
1986-06-01,0.14698
1986-07-01,0.68141
1986-08-01,0.60392
1986-09-01,2.52536
1986-10-01,-1.30897
1986-11-01,-0.15343
1986-12-01,2.34599
1987-01-01,-2.05532
1987-02-01,2.25515
1987-03-01,0.38645
1987-04-01,0.84625
1987-05-01,0.31591
1987-06-01,0.80042
1987-07-01,0.71271
1987-08-01,1.16651
1987-09-01,-0.13735
1987-10-01,0.25588
1987-11-01,0.30946
1987-12-01,0.95096
1988-01-01,1.24760
1988-02-01,0.23960
1988-03-01,1.21376
1988-04-01,0.07668
1988-05-01,0.93779
1988-06-01,0.75601
1988-07-01,0.72925
1988-08-01,0.75687
1988-09-01,0.20784
1988-10-01,1.14667
1988-11-01,0.48335
1988-12-01,0.86001
1989-01-01,0.69370
