observation_date,FDHBFIN,FDHBFIN_CCA,FDHBFIN_CCH,FDHBFIN_CH1,FDHBFIN_CHG,FDHBFIN_LOG,FDHBFIN_PC1,FDHBFIN_PCA,FDHBFIN_PCH,FDHBFRBN,FDHBFRBN_CCA,FDHBFRBN_CCH,FDHBFRBN_CH1,FDHBFRBN_CHG,FDHBFRBN_LOG,FDHBFRBN_PC1,FDHBFRBN_PCA,FDHBFRBN_PCH,FDHBPIN,FDHBPIN_CCA,FDHBPIN_CCH,FDHBPIN_CH1,FDHBPIN_CHG,FDHBPIN_LOG,FDHBPIN_PC1,FDHBPIN_PCA,FDHBPIN_PCH,FYGFDPUN,FYGFDPUN_CCA,FYGFDPUN_CCH,FYGFDPUN_CH1,FYGFDPUN_CHG,FYGFDPUN_LOG,FYGFDPUN_PC1,FYGFDPUN_PCA,FYGFDPUN_PCH
2000-04-01,1060.7,-9.06037,-2.26509,-198.1,-24.3,6.96668,-15.73721,-8.66204,-2.23963,504.900,2.54322,0.63581,20.000,3.200,6.22436,4.12456,2.57584,0.63783,2987.3,-25.35654,-6.33913,-211.9,-195.5,8.00213,-6.62353,-22.39710,-6.14239,3495713,-21.41596,-5.35399,-189454,-192261,15.06705,-5.14099,-19.27804,-5.21319
2000-07-01,1038.8,-8.34515,-2.08629,-242.6,-21.9,6.94582,-18.93242,-8.00643,-2.06467,511.400,5.11667,1.27917,22.400,6.500,6.23715,4.58078,5.24983,1.28738,2936.3,-6.88787,-1.72197,-239.1,-51.0,7.98491,-7.52976,-6.65601,-1.70723,3438416,-6.61058,-1.65265,-229181,-57297,15.05052,-6.24881,-6.39682,-1.63906
2000-10-01,1015.2,-9.19223,-2.29806,-253.5,-23.6,6.92284,-19.98108,-8.78239,-2.27185,511.700,0.23458,0.05865,33.700,0.300,6.23774,7.05021,0.23486,0.05866,2880.4,-7.68844,-1.92211,-353.5,-55.9,7.96568,-10.93107,-7.40032,-1.90376,3413541,-2.90429,-0.72607,-301990,-24875,15.04326,-8.12778,-2.86252,-0.72344
2001-01-01,1012.5,-1.06525,-0.26631,-72.5,-2.7,6.92018,-6.68203,-1.05959,-0.26596,523.900,9.42492,2.35623,22.200,12.200,6.26130,4.42496,9.88336,2.38421,2892.8,1.71829,0.42957,-290.0,12.4,7.96998,-9.11147,1.73313,0.43050,3434386,2.43520,0.60880,-253588,20845,15.04935,-6.87608,2.46509,0.61066
2001-04-01,983.3,-11.70541,-2.92635,-77.4,-29.2,6.89091,-7.29707,-11.04630,-2.88395,535.100,8.46113,2.11528,30.200,11.200,6.28245,5.98138,8.82939,2.13781,2722.6,-24.25503,-6.06376,-264.7,-170.2,7.90934,-8.86084,-21.53758,-5.88357,3274176,-19.10877,-4.77719,-221537,-160210,15.00158,-6.33739,-17.39399,-4.66488
2001-07-01,992.2,3.60418,0.90104,-46.6,8.9,6.89992,-4.48595,3.66991,0.90512,534.100,-0.74822,-0.18706,22.700,-1.000,6.28058,4.43880,-0.74543,-0.18688,2779.7,8.30228,2.07557,-156.6,57.1,7.93010,-5.33324,8.65666,2.09726,3338707,7.80695,1.95174,-99709,64531,15.02109,-2.89985,8.11978,1.97091
2001-10-01,1040.1,18.85898,4.71474,24.9,47.9,6.94707,2.45272,20.75455,4.82766,551.700,12.96853,3.24213,40.000,17.600,6.31300,7.81708,13.84701,3.29526,2819.5,5.68662,1.42166,-60.9,39.8,7.94431,-2.11429,5.85142,1.43181,3393758,6.54170,1.63543,-19783,55051,15.03745,-0.57954,6.76041,1.64887
2002-01-01,1057.2,6.52282,1.63070,44.7,17.1,6.96338,4.41481,6.74025,1.64407,575.400,16.82441,4.20610,51.500,23.700,6.35507,9.83012,18.32254,4.29581,2849.2,4.19148,1.04787,-43.6,29.7,7.95479,-1.50719,4.28056,1.05338,3443674,5.84043,1.46011,9288,49916,15.05205,0.27044,6.01435,1.47082
2002-04-01,1123.1,24.18753,6.04688,139.8,65.9,7.02385,14.21743,27.36353,6.23345,590.700,10.49713,2.62428,55.600,15.300,6.38131,10.39058,11.06787,2.65902,2849.8,0.08423,0.02106,127.2,0.6,7.95500,4.67200,0.08426,0.02106,3463544,2.30137,0.57534,189368,19870,15.05780,5.78368,2.32805,0.57700
2002-07-01,1188.6,22.67337,5.66834,196.4,65.5,7.08053,19.79440,25.44958,5.83207,604.200,9.03880,2.25970,70.100,13.500,6.40391,13.12488,9.45989,2.28542,2924.8,10.39091,2.59773,145.1,75.0,7.98098,5.21999,10.94996,2.63176,3552588,10.15360,2.53840,213881,89044,15.08319,6.40610,10.68698,2.57089
2002-10-01,1235.6,15.51222,3.87805,195.5,47.0,7.11931,18.79627,16.78006,3.95423,629.400,16.34469,4.08617,77.700,25.200,6.44477,14.08374,17.75628,4.17080,3018.5,12.61357,3.15339,199.0,93.7,8.01252,7.05799,13.44361,3.20364,3647385,10.53365,2.63341,253627,94797,15.10952,7.47334,11.10844,2.66839
2003-01-01,1275.2,12.61854,3.15463,218.0,39.6,7.15086,20.62051,13.44925,3.20492,641.500,7.61688,1.90422,66.100,12.100,6.46381,11.48766,7.91447,1.92247,3070.0,6.76702,1.69175,220.8,51.5,8.02943,7.74954,7.00123,1.70615,3710779,6.89254,1.72314,267105,63394,15.12675,7.75640,7.13563,1.73807
2003-04-01,1371.9,29.23744,7.30936,248.8,96.7,7.22395,22.15297,33.96045,7.58312,652.100,6.55550,1.63887,61.400,10.600,6.48020,10.39445,6.77514,1.65238,3164.7,12.15228,3.03807,314.9,94.7,8.05981,11.04990,12.92151,3.08469,3816279,11.21361,2.80340,352735,105500,15.15479,10.18422,11.86652,2.84307
2003-07-01,1443.3,20.29421,5.07355,254.7,71.4,7.27469,21.42857,22.50015,5.20446,656.100,2.44612,0.61153,51.900,4.000,6.48631,8.58987,2.47628,0.61340,3267.9,12.83572,3.20893,343.1,103.2,8.09190,11.73072,13.69591,3.26097,3924045,11.13886,2.78471,371457,107766,15.18263,10.45595,11.78292,2.82385
2003-10-01,1523.1,21.52623,5.38156,287.5,79.8,7.32850,23.26805,24.01871,5.52900,666.700,6.41078,1.60270,37.300,10.600,6.50234,5.92628,6.62073,1.61561,3377.9,13.24266,3.31066,359.4,110.0,8.12501,11.90658,14.15952,3.36608,4044054,12.04986,3.01246,396669,120009,15.21276,10.87544,12.80591,3.05830
