"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2021","19.40","25.20","31.90","18.68","","-30.59%"
"02/01/2021","27.95","31.45","33.96","19.69","","-15.53%"
"01/01/2021","33.09","23.04","37.51","21.09","","45.45%"
"12/01/2020","22.75","20.21","31.46","19.97","","10.60%"
"11/01/2020","20.57","38.57","38.78","19.51","","-45.90%"
"10/01/2020","38.02","25.78","41.16","24.03","","44.18%"
"09/01/2020","26.37","25.86","38.28","24.84","","-0.15%"
"08/01/2020","26.41","25.75","27.09","20.28","","7.97%"
"07/01/2020","24.46","30.96","33.67","23.55","","-19.62%"
"06/01/2020","30.43","28.94","44.44","23.54","","10.61%"
"05/01/2020","27.51","38.17","40.32","25.92","","-19.44%"
"04/01/2020","34.15","57.38","60.59","30.54","","-36.22%"
"03/01/2020","53.54","34.86","85.47","24.93","","33.48%"
"02/01/2020","40.11","18.64","49.48","13.38","","112.90%"
"01/01/2020","18.84","13.46","19.99","11.75","","36.72%"
"12/01/2019","13.78","12.69","17.99","11.71","","9.19%"
"11/01/2019","12.62","12.99","14.17","11.42","","-4.54%"
"10/01/2019","13.22","16.02","21.46","12.19","","-18.60%"
"09/01/2019","16.24","20.96","21.15","13.31","","-14.44%"
"08/01/2019","18.98","15.41","24.81","13.73","","17.74%"
"07/01/2019","16.12","13.85","16.55","11.69","","6.90%"
"06/01/2019","15.08","19.41","19.75","13.19","","-19.40%"
"05/01/2019","18.71","12.86","23.38","12.74","","42.61%"
"04/01/2019","13.12","13.90","14.39","11.03","","-4.30%"
"03/01/2019","13.71","14.57","18.33","12.37","","-6.73%"
"02/01/2019","14.70","16.37","17.89","13.44","","-11.29%"
"01/01/2019","16.57","27.67","27.72","16.54","","-34.82%"
"12/01/2018","25.42","16.04","36.20","15.94","","40.68%"
"11/01/2018","18.07","20.96","23.81","16.09","","-14.88%"
"10/01/2018","21.23","11.99","28.84","11.34","","75.17%"
"09/01/2018","12.12","13.13","15.63","11.10","","-5.75%"
"08/01/2018","12.86","13.09","16.86","10.17","","0.23%"
"07/01/2018","12.83","17.70","18.08","11.44","","-20.26%"
"06/01/2018","16.09","14.92","19.61","11.22","","4.28%"
"05/01/2018","15.43","15.78","18.78","10.91","","-3.14%"
"04/01/2018","15.93","21.07","25.72","14.57","","-20.23%"
"03/01/2018","19.97","19.96","26.22","13.31","","0.60%"
"02/01/2018","19.85","13.05","50.30","12.50","","46.60%"
"01/01/2018","13.54","10.95","15.42","8.92","","22.64%"
"12/01/2017","11.04","11.19","14.58","8.90","","-2.13%"
